id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#level 5,ClassyFire#subclass
3679_01102023_MZmine_trial_sirius_sirius_5962,C25H42N6O5,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
5628_01102023_MZmine_trial_sirius_sirius_8949,C26H39N3O6,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
3505_01102023_MZmine_trial_sirius_sirius_5710,C16H22BN5O6,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
5256_01102023_MZmine_trial_sirius_sirius_8275,C20H42N4O8,[M + K]+,Small peptides,Aminoglycosides,Dipeptides,Peptides,Amino acids
8388_01102023_MZmine_trial_sirius_sirius_13570,C22H42N2O6,[M + H]+,Fatty amides,N-acyl amines,Dipeptides,Peptides,Amino acids
8012_01102023_MZmine_trial_sirius_sirius_12934,C27H42N2O5S,[M + H]+,Eicosanoids,Leukotrienes,Dipeptides,Peptides,Amino acids
9264_01102023_MZmine_trial_sirius_sirius_15194,C30H49N5O9,[M + Na]+,Oligopeptides,Linear peptides,Dipeptides,Peptides,Amino acids
9118_01102023_MZmine_trial_sirius_sirius_14914,C15H30N2O5,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
9141_01102023_MZmine_trial_sirius_sirius_14951,C21H46N10O3,[M + K]+,Small peptides,Polyamines,Dipeptides,Peptides,Amino acids
9350_01102023_MZmine_trial_sirius_sirius_15374,C18H34N2O7,[M + Na]+,Small peptides,N-acyl amines,Dipeptides,Peptides,Amino acids
9_01102023_MZmine_trial_sirius_sirius_164,C13H23N5O3,[M + H]+,Small peptides,Dipeptides,Hybrid peptides,,Hybrid peptides
2383_01102023_MZmine_trial_sirius_sirius_4155,C23H33FN2O6,[M + Na]+,Small peptides,Dipeptides,Hybrid peptides,,Hybrid peptides
2004_01102023_MZmine_trial_sirius_sirius_3586,C22H34N8O9,[M + Na]+,Small peptides,Tripeptides,Hybrid peptides,,Hybrid peptides
1426_01102023_MZmine_trial_sirius_sirius_2756,C22H46N6O8S,[M + H]+,Fatty amides,N-acyl amines,Hybrid peptides,,Hybrid peptides
1072_01102023_MZmine_trial_sirius_sirius_2296,C16H28N2O8,[M + H]+,Small peptides,Dipeptides,Hybrid peptides,,Hybrid peptides
1720_01102023_MZmine_trial_sirius_sirius_3188,C13H22N2O4,[M + H]+,Small peptides,Dipeptides,Hybrid peptides,,Hybrid peptides
2144_01102023_MZmine_trial_sirius_sirius_3798,C28H37F2N5O6,[M + Na]+,Small peptides,Tripeptides,Hybrid peptides,,Hybrid peptides
4994_01102023_MZmine_trial_sirius_sirius_7866,C20H33F2N3O7,[M + H]+,Small peptides,Tripeptides,Hybrid peptides,,Hybrid peptides
4246_01102023_MZmine_trial_sirius_sirius_6781,C33H39FN6O8,[M + Na]+,Small peptides,Tripeptides,Hybrid peptides,,Hybrid peptides
7678_01102023_MZmine_trial_sirius_sirius_12338,C35H53FN6O10,[M + Na]+,Oligopeptides,Depsipeptides,Hybrid peptides,,Hybrid peptides
8047_01102023_MZmine_trial_sirius_sirius_12992,C28H42F2N4O7,[M + H]+,Small peptides,Tripeptides,Hybrid peptides,,Hybrid peptides
6819_01102023_MZmine_trial_sirius_sirius_11053,C26H42F2N6O10,[M + H]+,Nucleosides,Pyrimidine nucleos(t)ides,Hybrid peptides,,Hybrid peptides
1756_01102023_MZmine_trial_sirius_sirius_3238,C24H34N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1367_01102023_MZmine_trial_sirius_sirius_2673,C29H47N7O8,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
2148_01102023_MZmine_trial_sirius_sirius_3804,C40H38N10O10,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
1566_01102023_MZmine_trial_sirius_sirius_2956,C30H51N7O15,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2152_01102023_MZmine_trial_sirius_sirius_3810,C21H37N5O8S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1178_01102023_MZmine_trial_sirius_sirius_2416,C20H34N6O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1958_01102023_MZmine_trial_sirius_sirius_3522,C18H32N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1377_01102023_MZmine_trial_sirius_sirius_2693,C31H42N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
207_01102023_MZmine_trial_sirius_sirius_873,C15H26N4O5,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1961_01102023_MZmine_trial_sirius_sirius_3525,C17H35N3O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2961_01102023_MZmine_trial_sirius_sirius_4949,C16H19Br2N5O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1184_01102023_MZmine_trial_sirius_sirius_2422,C20H29N5O5,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
405_01102023_MZmine_trial_sirius_sirius_1455,C28H39N5O9S2,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1771_01102023_MZmine_trial_sirius_sirius_3257,C18H27N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2575_01102023_MZmine_trial_sirius_sirius_4422,C24H45N5O12,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
604_01102023_MZmine_trial_sirius_sirius_1718,C16H23N5O5,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2577_01102023_MZmine_trial_sirius_sirius_4424,C19H36N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1774_01102023_MZmine_trial_sirius_sirius_3261,C19H26N4O6S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1968_01102023_MZmine_trial_sirius_sirius_3535,C22H30N10O3,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2387_01102023_MZmine_trial_sirius_sirius_4160,C16H25N3O5,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
803_01102023_MZmine_trial_sirius_sirius_1950,C12H23N3O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2389_01102023_MZmine_trial_sirius_sirius_4164,C26H38N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1196_01102023_MZmine_trial_sirius_sirius_2441,C20H38N8O6,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2170_01102023_MZmine_trial_sirius_sirius_3844,C23H27N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2583_01102023_MZmine_trial_sirius_sirius_4430,C22H30N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2171_01102023_MZmine_trial_sirius_sirius_3846,C6H12BN3O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1206_01102023_MZmine_trial_sirius_sirius_2452,C12H25N11O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1589_01102023_MZmine_trial_sirius_sirius_2985,C21H33FN6O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1001_01102023_MZmine_trial_sirius_sirius_2213,C22H37N5O11,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
222_01102023_MZmine_trial_sirius_sirius_923,C14H28N4O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1207_01102023_MZmine_trial_sirius_sirius_2453,C16H26N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2394_01102023_MZmine_trial_sirius_sirius_4175,C22H30N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1591_01102023_MZmine_trial_sirius_sirius_2987,C15H26N4O5,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2395_01102023_MZmine_trial_sirius_sirius_4176,C16H30N4O3S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1210_01102023_MZmine_trial_sirius_sirius_2456,C18H30N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1594_01102023_MZmine_trial_sirius_sirius_2997,C34H50N10O9,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2595_01102023_MZmine_trial_sirius_sirius_4447,C23H35N5O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1595_01102023_MZmine_trial_sirius_sirius_2999,C34H44N6O5,[M + H]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
1793_01102023_MZmine_trial_sirius_sirius_3288,C32H54N8O14S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2795_01102023_MZmine_trial_sirius_sirius_4722,C24H25N7O12S3,[M + K]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2036_01102023_MZmine_trial_sirius_sirius_3627,C16H30N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
